time	f0
0.015	167.88
0.025	168.14
0.035	177.55
0.045	185.76
0.055	189.86
0.065	200.58
0.075	184.73
0.085	161.61
0.095	200.98
0.105	178.51
0.115	189.88
0.125	163.46
0.135	182.67
0.145	178.61
0.185	205.15
0.195	208.46
0.205	200.79
0.215	193.23
0.225	198.18
0.235	202.04
0.245	201.95
0.255	197.48
0.265	193.46
0.275	189.07
0.285	189.96
0.295	206.08
0.305	205.6
0.315	204.87
0.445	198.31
0.455	203.01
0.465	204.52
0.475	185.11
0.485	191.19
0.495	197.78
0.505	176.7
0.515	198.95
0.525	181.71
0.565	181.83
0.575	178.83
0.585	180.33
0.595	180.16
0.605	179.71
0.615	201.73
0.625	255.47
0.635	189.52
0.645	201.16
0.655	195.54
0.665	188.97
0.675	191.04
0.685	216.82
0.695	205.81
0.705	203.11
0.715	199.03
0.765	171.95
0.865	192.16
0.875	190.15
0.885	202.43
0.895	191.79
0.905	197.22
0.915	188.48
0.925	196.13
0.935	185.19
1.035	166.57
1.045	175.53
1.055	174.66
1.065	166.64
1.075	246.62
1.085	252.51
