time	f0
0.518	149.55
0.528	148.78
0.538	150.66
0.548	151.09
0.558	150.1
0.568	150.18
0.578	149.67
0.588	148.72
0.598	147.85
0.608	147.63
0.618	147.11
0.628	144.01
0.638	142.19
0.648	141.73
0.658	144.01
0.668	143.28
0.678	144.72
0.688	145.6
0.698	142.66
0.708	141.08
0.718	141.28
0.728	140.26
0.758	145.77
0.768	147.43
0.778	149.16
0.788	143.7
0.798	140.48
0.808	136.66
0.818	139.82
0.828	138.33
0.838	139.62
0.888	164.29
0.898	140.87
0.908	139.83
0.958	137.02
0.968	246.61
0.978	276.73
0.988	273.85
0.998	275.64
1.028	233.05
1.038	240.92
1.048	255.62
1.058	250.03
1.068	257.41
1.788	256.99
1.798	244.15
1.808	261.72
1.818	270.94
1.828	233.07
1.838	263.01
1.848	265.21
1.908	269.87
1.918	269.58
2.018	208.04
2.028	188.54
2.038	187.56
2.048	186.97
2.058	183.86
2.068	185.5
2.078	187.87
2.088	190.65
2.098	191.45
2.108	194.5
2.118	194
2.128	196.17
2.138	198.15
2.148	197.75
2.158	196.35
2.168	196.51
2.178	194.94
2.188	191.77
2.198	189.03
2.208	186.19
2.218	182.29
2.228	178.42
2.238	188.78
2.248	188.5
2.258	189.82
2.268	190.64
2.278	190.07
2.288	185.31
2.298	187.7
2.308	188.55
2.318	184.07
2.328	186.57
2.338	194.79
2.348	188.87
2.358	187.62
2.398	176.32
2.408	162.34
2.418	188.21
2.428	177.91
2.438	164.88
2.448	169.44
2.458	176.93
2.468	170.25
2.478	162.19
2.488	161.9
2.498	165.96
2.508	180.81
2.518	169.85
2.528	162.8
2.538	191.61
2.548	190.51
2.558	189.51
2.568	188.81
2.578	189.3
2.588	190.13
2.598	190.51
2.608	194.23
2.618	195.31
2.628	197.11
2.638	199.79
2.648	199.84
2.658	198.76
2.668	199.65
2.678	203.3
2.688	200.58
2.698	199.45
2.708	199.26
2.718	201.07
2.728	202.88
2.738	201.29
2.748	202.79
2.758	206.44
2.768	204.04
2.778	202.92
2.788	198.72
2.798	201.86
2.808	205.28
2.818	206.32
2.828	214.41
2.838	185.88
2.848	173.25
2.858	167.19
2.868	167.18
2.878	166.77
2.888	168.44
2.898	167.06
2.908	167.55
2.918	169.49
2.928	167.07
2.938	167.97
2.948	167.42
2.958	165.42
2.968	167.58
2.978	164.68
2.988	166.04
2.998	164.46
3.008	164.88
3.018	162.26
3.028	162.5
3.038	160.47
3.048	161.94
3.058	160.48
3.068	162.26
3.078	170.43
3.088	161.17
3.098	157.39
3.108	154.77
3.118	155.74
3.128	152.42
3.138	151.86
3.148	152.39
3.158	151.28
3.168	155.26
3.178	153.17
4.168	168.38
4.178	170.41
4.188	170.3
4.198	168.71
4.208	168.18
4.218	167.6
4.228	164.46
4.238	162.36
4.248	161.33
4.258	161.25
4.268	161.38
4.278	162.85
4.288	161.09
4.298	164.51
4.308	166.67
4.318	164.37
4.328	159.66
4.338	159.21
4.348	154.63
4.358	151.4
4.368	151.06
4.378	149.85
4.388	149.71
4.398	160.14
4.408	166.77
4.418	164.02
4.448	123.32
4.458	145.38
4.468	149.26
4.478	156.13
4.488	155.38
4.498	150.69
4.508	148.49
4.518	152.42
4.528	151.7
4.538	149.89
4.548	144.98
4.558	155.1
4.568	150.8
4.578	151.91
4.588	151.61
4.598	147.41
4.608	150.77
4.618	151.57
4.628	148.9
4.638	149.2
4.648	151.38
4.658	150.53
4.668	150.38
4.678	151.63
4.688	151.96
4.698	155.03
4.708	152.56
4.718	148.52
4.728	154.1
4.738	153.6
4.748	144.17
4.758	154.91
4.768	153.28
4.778	145.66
4.788	150.45
4.798	146.69
4.928	180.53
4.938	179.84
4.948	179.32
4.958	181.21
4.968	182.86
4.978	181.23
4.988	180.82
4.998	181.77
5.008	181.9
5.018	181.82
5.028	180.92
5.038	178.67
5.048	176.79
5.058	174.76
5.068	173.57
5.078	172.07
5.088	171.47
5.098	170.02
5.108	169.75
5.118	172.24
5.128	171.11
5.138	171.15
5.148	170.68
5.158	173.37
5.168	178.34
5.178	177.1
5.188	172.2
5.198	178.12
5.208	186.85
5.218	189.68
5.228	186.89
5.238	187.33
5.248	189.45
5.258	201.34
5.268	206
5.278	203.22
5.288	204.14
5.298	209.8
5.308	209.72
5.318	205.15
5.328	204.43
5.338	204.26
5.348	203.78
5.358	208.79
5.368	200.86
5.378	202.13
5.388	194.19
5.398	192.7
5.408	189.43
5.418	184.09
5.428	181.68
5.438	181.97
5.448	199.95
5.458	197.53
5.468	203.42
5.478	194.2
5.488	187.81
5.558	159.04
5.568	158.68
5.978	195.95
5.988	197.39
5.998	196.71
6.008	198.26
6.018	197.86
6.028	197.3
6.038	196.01
6.048	192.54
6.058	189.76
6.068	189.08
6.078	191.6
6.088	196.37
6.098	196.78
6.108	192.44
6.118	189.8
6.128	196.87
6.138	195.5
6.148	197.21
6.158	192.42
6.168	196.43
6.308	116.94
6.318	152.06
6.328	154.76
6.338	143.3
6.408	155.63
6.418	153.02
6.428	152.31
6.438	150.79
6.448	151.74
6.458	150.21
6.468	152.31
6.478	153.38
6.758	168.34
6.768	165.6
6.778	167.31
6.788	170.66
6.798	174.05
6.808	172.97
6.818	169.89
6.828	173.92
6.838	180.29
6.848	173.69
6.858	171.25
8.458	277.63
8.468	277.37
8.478	255.05
8.488	250.31
8.498	265.76
8.518	153.4
8.528	146.91
8.538	142.7
8.548	152.67
8.558	153.25
8.568	140.17
8.638	151.15
8.648	150.42
8.658	148.96
8.668	148.92
8.678	148.65
8.688	147.41
8.698	146.39
8.708	148.02
8.718	148.44
8.728	146.67
8.738	146.56
8.748	146.44
8.758	146.76
8.768	146.47
8.778	148.29
8.788	146.99
8.798	148.21
8.808	146.34
8.818	146.57
8.828	150.97
8.838	145.93
8.848	147.86
8.858	148.72
8.868	151.7
8.878	148.02
8.928	174.51
8.938	174.24
8.948	175.27
8.958	174.4
8.968	173.48
8.978	171.17
8.988	168.54
8.998	166.42
9.008	156.63
9.018	158.35
9.028	167
9.038	176.33
9.048	170.4
9.058	173.92
9.068	171.9
9.078	169.41
9.088	160.45
9.098	162.84
9.108	113.99
9.118	116.66
9.128	111.72
9.138	150.9
9.148	148.56
9.158	149.48
9.168	148.85
9.178	146.94
9.188	146.4
9.198	144.9
9.208	146.53
9.218	148.75
9.228	145.04
9.238	151.03
9.248	148.37
9.258	150
9.268	147.2
9.278	175.95
9.288	178.05
9.298	180.45
9.308	184.11
9.318	186.51
9.328	189.53
9.338	187.67
9.348	181.8
9.358	185.21
9.368	184.64
9.378	184.84
9.388	177.8
9.398	177.44
9.408	174.66
9.418	177.67
9.428	171.51
9.438	170.07
9.478	298.29
9.488	293.99
9.518	138.8
9.528	152.61
9.538	156.63
9.548	163.61
9.558	156.3
9.568	155.78
9.578	155.21
9.588	154.03
9.598	152.06
9.608	152.85
9.618	152.31
9.628	152.25
9.638	154.37
9.648	154.84
9.658	156.09
9.668	154.97
9.678	155.27
9.688	156.69
9.698	165.25
9.708	161.2
9.718	172.64
9.728	171.75
9.738	171.02
9.748	170.68
9.758	173.49
9.768	177.81
9.778	176.64
9.788	178.26
9.798	182.37
9.808	181.15
9.818	184.37
9.828	182.66
9.838	186.87
9.848	183.85
9.858	181.57
9.868	176.48
9.878	172.01
9.888	128.26
9.898	185.75
9.908	183.25
9.918	183.32
9.928	183.8
9.938	177.38
9.948	175.51
10.698	154.82
10.708	154.5
10.718	154.66
10.728	153.23
10.738	136.77
10.748	149.77
10.758	149.62
10.778	151.22
10.788	152.89
10.798	153.14
10.808	151.21
10.818	152.02
10.828	145.22
10.838	141.88
10.848	141.63
10.858	132.48
10.868	133.42
10.878	144.98
10.888	152.57
10.898	152.27
10.908	147.12
10.918	150.87
10.928	148.83
10.938	149.04
10.948	148.98
10.958	143.11
10.968	148.14
10.978	152.72
10.988	149.07
10.998	150.31
11.008	149.69
11.018	151.87
11.028	144.01
11.038	150.06
11.048	142.6
11.058	142.52
11.068	142.65
11.118	219.01
