time	f0
0.015	191.59
0.025	198.83
0.035	196.24
0.045	193.75
0.055	191.03
0.065	190.26
0.075	177.07
0.085	178.97
0.095	181.35
0.105	180.02
0.115	187.9
0.125	183.73
0.135	178.97
0.145	185.69
0.155	183.42
0.165	185.37
0.175	191.31
0.185	188.34
0.285	198.84
0.295	206.26
0.305	207.39
0.315	210
0.325	212.2
0.335	209.99
0.345	213.94
0.355	205.71
0.365	199.5
0.375	204.36
0.385	213.19
0.395	209.61
0.405	206.41
0.415	203.56
0.425	213.4
0.435	213.62
0.445	207.94
0.455	204.59
0.465	200.62
0.475	196.68
0.485	189.55
0.495	188.78
0.505	190.56
0.515	175.4
0.525	176.59
0.535	178.73
0.545	179.95
0.555	158.2
0.565	170.72
0.575	162.3
0.585	161.58
0.595	169.92
0.605	159.82
0.615	157.31
0.625	170.23
0.635	151.21
0.655	132.8
0.665	156.99
0.675	165.09
0.685	147.45
0.695	132.37
0.705	148.69
0.715	152.29
0.725	187.07
0.735	164.6
0.745	161.48
0.755	156.4
0.765	159
0.775	160.06
0.785	158
0.795	165.74
0.805	168.44
0.815	166.11
0.825	166.65
0.835	167.14
0.865	278.24
0.875	279.07
0.885	278.69
0.895	278.33
0.905	279.75
0.915	277.2
0.985	169.24
0.995	169.52
1.005	174.03
1.015	168.79
1.025	167.61
1.035	167.03
1.045	171.34
1.055	163.94
1.065	165.11
1.075	154.96
1.085	161.38
1.095	151.19
