time	f0
0.025	115.42
0.035	117.41
0.045	119.28
0.055	119.67
0.065	114.85
0.075	115.35
0.085	115.49
0.095	109.5
0.105	112.28
0.115	107.99
0.125	107.78
0.135	107.36
0.145	110.19
0.155	125.28
0.165	125.33
0.175	124.58
0.185	122.79
0.195	122.28
0.205	118.93
0.215	118.73
0.225	117.88
0.235	120.21
0.245	120.08
0.255	123.13
0.265	125.03
0.275	125.84
0.285	124.98
0.295	124.01
0.305	121.82
0.315	120.99
0.325	119.48
0.335	115.5
0.345	112
0.355	108
0.365	110.66
0.375	109.29
0.385	109.19
0.395	113.16
0.405	113.7
0.415	114.22
0.425	114.43
0.435	118.37
0.445	121.07
0.455	117.62
0.465	115.86
0.475	114.02
0.485	115.08
0.495	120.94
0.505	106.64
0.515	108.39
0.525	110.73
0.535	111.22
0.545	111.05
0.555	111.82
0.565	112.45
0.575	107.61
0.685	151.7
0.695	149.81
0.705	144.96
0.715	140.69
0.725	137.28
0.735	135.25
0.745	134.62
0.835	99.46
0.845	98.98
0.855	98.49
0.865	98.67
0.875	99.72
0.885	97.17
0.895	97.08
0.905	96.98
0.915	95.18
0.925	90
1.035	181.07
1.045	179.11
1.055	180.76
1.065	181.66
1.075	177.15
1.085	178.3
1.095	93.61
1.105	92.04
1.115	92.21
1.125	91.39
1.135	91.37
1.145	92.65
1.155	99.6
1.165	99.48
1.175	97.8
1.185	110.37
1.195	110.9
1.205	112.33
1.215	112.53
1.225	112.04
1.235	111.72
1.245	109.52
1.255	106.64
1.265	107.97
1.275	106.83
1.285	102.57
1.295	101.8
1.335	117.38
1.345	114.33
1.355	115.81
1.365	115.76
1.375	114.1
1.385	112.35
1.395	112.32
1.405	107.49
1.415	102.73
1.425	104.61
1.435	102.9
1.445	95.27
1.455	198.48
1.465	192.86
1.475	183.61
1.485	187.93
1.495	195.71
1.505	193.59
1.515	180.89
1.525	182.51
1.535	180.92
1.545	177.63
1.555	177.8
1.655	100.3
1.665	100.55
1.675	101.39
1.685	101.26
1.695	102.44
1.705	104.09
1.715	104.88
1.725	104.67
1.735	100.5
1.745	101.63
1.755	98.59
1.765	98.55
1.775	94.74
1.785	94.53
1.795	94.72
1.805	191.95
1.815	188.15
1.825	186.26
1.835	182.16
1.845	181.89
1.855	178.88
1.885	92.96
1.895	92.2
1.905	91.16
1.915	94.12
1.925	98.37
1.935	101.55
1.945	103.77
1.955	106.49
1.965	115.74
1.975	107.2
1.985	106.78
1.995	106.64
2.005	106.72
2.015	106.02
2.025	106.07
2.035	106.44
2.045	106.44
2.055	106.26
2.065	105.99
2.075	105.78
2.085	105.07
2.095	104.5
2.105	103.65
2.115	103.72
2.125	103.88
2.135	103.3
2.145	102.58
2.155	102.5
2.165	93.43
2.175	98.09
2.185	97.34
2.195	96.34
2.205	96.5
2.215	96.9
2.225	97.1
2.235	97.05
2.245	97.05
2.255	97.49
2.265	93.77
2.275	93.26
2.285	93.78
2.295	97.95
2.415	193.28
2.425	179.85
2.435	181.07
2.445	190.35
2.455	192.03
2.465	187.22
2.475	179.57
2.505	92.37
2.515	94.72
2.525	92.13
2.535	92.55
2.545	93.15
