time	f0
0.275	102.73
0.285	101.85
0.295	102.4
0.305	102.27
0.315	99.23
0.325	97.04
0.335	96.54
0.455	128.54
0.465	128.23
0.475	128.14
0.485	127.85
0.495	127.74
0.505	128.95
0.515	123.68
0.525	122.7
0.535	119.14
0.545	116.21
0.555	123.66
0.565	123.58
0.665	117.31
0.675	113.66
0.685	106.87
0.695	105.9
0.705	104.88
0.715	104.67
0.725	105.88
0.735	106.01
0.745	104.76
0.755	103.26
0.765	102.71
0.775	101.36
0.785	98.81
0.795	96.51
0.805	95.55
0.815	95.15
0.825	95.58
0.835	96.26
0.845	96.05
0.855	94.78
1.565	116.53
1.575	109.34
1.585	109.75
1.595	109.28
1.605	108.89
1.615	109.08
1.625	108.67
1.635	108.31
1.645	108.73
1.655	109.28
1.665	109.12
1.675	108.71
1.685	108.28
1.695	107.74
1.705	107.37
1.715	107.13
1.725	106.99
1.735	106.71
1.745	106.56
1.755	107.03
1.765	109.52
1.775	110.01
1.785	106.94
1.795	106.78
1.805	105.68
1.815	103.21
1.825	102.59
1.835	102
1.845	101.59
1.855	100.44
1.865	102.89
1.875	101.12
1.885	100.61
1.895	101.46
1.905	102.38
1.915	102.12
1.925	101.36
1.935	101.8
1.945	101.94
1.955	101.63
1.965	101.59
1.975	98.95
1.985	98.72
1.995	93.37
2.005	93.61
2.015	95.37
2.025	98.85
2.035	101.09
2.045	103.34
2.805	101.17
2.815	98.99
2.825	100.2
2.835	100.67
2.845	99.83
2.855	98.96
2.865	98.46
2.875	95.76
2.885	95.59
2.895	95.21
2.905	94.25
2.915	94.27
2.925	94.16
2.935	94.08
2.945	93.88
2.955	91.44
2.965	91.58
2.975	91.39
2.985	90.9
2.995	89.64
3.005	89.33
3.015	89.34
3.025	88.15
3.035	87.61
3.045	86.78
3.055	86.61
3.065	86.28
3.075	86.19
3.085	85.99
3.095	85.69
3.105	85.6
3.115	85.67
3.125	85.65
3.135	85.19
3.145	85.03
3.155	84.98
3.165	84.59
3.175	84.19
3.185	84.14
3.195	83.78
3.205	83.94
3.215	83.81
3.225	82.54
3.235	81.9
3.245	81.47
3.255	81.36
3.265	81.32
3.275	81.26
3.285	82.91
3.295	81.15
3.305	80.71
3.315	80.31
3.325	76.78
3.335	76.17
4.725	106.23
4.735	105.2
4.745	104.39
4.755	103.27
4.765	102.07
4.775	101.25
4.785	100.92
4.795	100.69
4.805	100.36
4.815	99.48
4.825	98.45
4.835	97.96
4.845	97.34
4.855	96.9
4.865	97.13
4.875	97.24
4.885	96.81
4.895	96.05
4.905	95.12
4.915	94.02
4.925	93.47
4.935	93.33
4.945	92.37
4.955	92.04
4.965	91.81
4.975	91.65
4.985	91.11
4.995	91.11
5.005	90.51
5.015	89.74
5.025	89.49
5.035	88.87
5.045	87.43
5.055	85.36
5.065	81.55
5.075	70.98
5.085	71.48
5.095	71.21
5.105	69.94
5.115	69.9
5.125	70.05
5.195	87.76
5.205	90.62
5.215	89.85
5.225	88.89
5.235	87.99
5.245	86.62
5.255	85.29
5.265	85
5.275	85.61
5.285	86.32
5.295	86.57
5.305	86.79
5.315	86.67
5.325	86.28
5.335	86.34
5.345	87.13
5.355	87.17
5.365	86.05
5.375	85.4
5.385	84.8
5.395	84.28
5.695	97.17
5.705	93.82
5.715	90.92
5.725	90.72
5.735	90.83
5.745	91.62
5.755	92.76
5.765	93.48
5.775	92.33
5.785	90.89
5.795	91.23
5.805	91.4
5.815	92.51
6.105	102.14
6.115	101.73
6.125	102.97
6.135	103.06
6.245	110.16
6.255	107.57
6.265	104.51
6.275	103.45
6.285	99.49
6.295	93.53
6.305	93.38
6.315	87.13
6.325	85.87
6.385	82.4
6.395	82.61
6.405	82.54
6.415	83.84
8.165	85.75
8.175	92.01
8.185	92.22
8.195	96.62
8.205	99.27
8.215	99.01
8.225	93.24
8.235	90.79
8.305	111.09
8.315	110.57
8.325	112.28
8.335	112.08
8.345	110.03
8.355	109.54
8.365	109.43
8.375	109.08
8.385	108.52
8.395	107.62
8.405	106.08
8.415	104.45
8.425	103.43
8.435	102.44
8.445	99.95
8.455	96.66
8.465	87.06
8.475	83.89
8.485	81.66
8.495	82.09
8.505	85.39
8.515	90.04
8.525	90.28
8.555	90.86
8.565	89.67
8.575	89.47
8.585	89.22
8.595	88.24
8.605	87.08
8.615	87.08
8.625	64.71
8.655	94.58
8.665	94.96
8.685	107.26
8.695	108.9
8.705	112.45
8.715	113.39
8.725	113.61
8.735	113.19
8.745	111.94
8.755	109.58
8.765	106.89
8.775	104.34
8.785	102.39
8.795	98.33
8.805	97.09
8.815	67.61
9.045	100.04
9.055	97.28
9.065	95.89
9.075	94.88
9.085	94.33
9.095	94.13
9.105	93.83
9.115	93.6
9.125	90.11
9.135	89.6
9.145	89.5
9.155	87.76
9.165	88.34
9.175	86.2
9.295	92.45
9.305	90.27
9.315	90.29
9.325	90.18
9.335	89.73
9.345	89.2
9.355	88.32
9.365	89.51
9.375	90.15
9.385	90.57
9.395	93.51
9.405	93.05
9.415	92.25
9.425	91.78
9.435	91.3
9.445	90.89
9.455	90.42
9.465	89.55
9.475	88.3
9.485	85.54
9.495	84.73
9.685	75.76
9.695	91.97
9.705	86.66
9.715	86.39
9.725	85.93
9.735	85.1
9.745	80.51
9.755	80.5
9.765	80.12
9.775	79.63
9.785	77.9
9.795	77.53
9.805	77.49
9.945	75.22
9.955	73.23
9.965	86.61
9.975	85.94
9.985	87.09
9.995	87.97
10.005	87.58
10.015	87.82
10.025	88.01
10.035	89.55
10.045	90.34
10.055	91
10.065	91.6
10.075	91.59
10.085	91.11
10.095	90.72
10.105	90.55
10.115	89.95
10.125	90.22
10.135	91.82
10.145	90.12
10.155	90.99
10.165	92.29
10.175	91.07
10.185	89.69
10.195	88.91
10.205	88.91
10.215	89.67
10.225	90.89
10.235	93.26
10.245	96.04
10.255	102.12
10.265	110.9
10.275	116.13
10.285	118.11
10.295	120.37
10.305	121.7
10.315	122.17
10.325	121.39
10.335	117.63
10.345	114.63
10.355	114.62
10.545	98.25
10.555	96.14
10.565	94.32
10.575	94.31
10.585	90.96
10.595	88.33
10.605	88.54
10.615	86.32
10.625	83.84
10.635	87.41
10.645	85.7
10.655	85.16
10.665	84.6
10.675	84.87
10.685	87.34
10.695	89.32
10.805	93.27
10.815	90.3
10.825	90.46
10.835	90.83
10.845	91.01
10.855	85.49
10.865	88.89
10.875	88.8
10.885	89.14
10.895	89.87
10.905	93.12
10.915	93.52
10.925	91.74
10.935	90.96
10.945	90.56
10.955	90.28
10.965	89.88
10.975	88.56
10.985	85
10.995	82.99
11.005	83.5
11.835	76.19
11.845	87.09
11.855	82.72
11.865	83.85
11.875	83.67
11.885	82
11.895	81.09
11.905	79.15
11.915	79.09
11.925	79.21
11.935	79.19
11.945	66.68
11.955	79.82
11.965	71.56
11.975	71.86
11.985	77.39
11.995	75.07
12.025	75.86
12.035	75.85
12.045	75.8
12.055	70.35
12.065	73.22
12.075	104.03
12.085	104.53
12.505	97.66
12.515	97.32
12.525	96.76
12.535	96.14
12.545	96.22
12.555	96.96
12.565	97.38
12.575	97.57
12.585	97.48
12.595	96.96
12.605	96.22
12.615	96.11
12.625	95.17
12.635	94.85
12.645	95.8
12.655	96.55
13.505	101.77
13.515	101.34
13.525	98.11
13.535	95.72
13.545	93.39
13.555	91.22
13.565	90.24
13.575	90.02
13.585	88.34
13.595	86.45
13.605	85.63
13.615	85.84
13.625	85.99
13.635	85.57
13.645	86.02
13.655	85.44
13.665	85.06
13.775	84.39
13.785	87.12
13.795	84.52
13.805	80.81
13.815	80.43
13.825	86.01
13.835	89.92
13.845	90.08
13.855	93
13.865	92.97
13.875	94.98
13.885	96.95
13.895	97.42
13.905	97.6
13.915	94.7
13.925	94.91
13.935	91.72
13.945	88.28
14.235	88.28
14.245	88.75
14.255	89.24
14.265	89.53
14.275	89.13
14.285	88.52
14.295	87.74
14.305	86.12
14.315	84.46
14.325	83.62
14.335	83.82
14.345	83.35
14.355	83.6
14.365	84.34
14.375	84.36
14.385	82.22
14.395	82.13
14.405	83.24
14.415	82.88
14.425	81.57
14.435	82.15
14.445	81.22
14.455	81.02
14.465	81.8
14.475	85.41
14.485	75.2
14.495	88.53
14.505	89.57
14.515	89.94
14.525	89.26
14.535	76.17
14.545	88.52
14.555	90.11
14.565	88.49
14.575	78.96
14.585	79.17
14.595	77.91
14.605	79.32
15.035	162.38
15.045	156.72
15.055	156.22
15.065	158.46
15.075	161.47
15.085	170.08
15.755	110.1
15.765	110.3
15.775	97.57
15.785	98.04
15.795	98.19
15.805	96.79
15.815	95.75
15.825	95.56
15.835	95.06
15.845	95.69
15.855	96.69
15.865	98.46
15.875	99.71
15.885	99.96
15.895	100.24
15.905	100.49
15.915	100.53
15.925	100.28
15.935	100.18
15.945	100.67
15.955	99.72
15.965	99.15
15.975	99.74
15.985	99.76
15.995	99.44
16.075	83.91
16.085	83.56
16.095	82.97
16.105	82.44
16.115	82.2
16.125	84.49
16.135	94.97
16.145	96.18
16.155	96.34
16.165	95.64
16.175	94.79
16.185	94.67
16.195	94.82
16.205	95.05
16.215	100.13
16.225	101.64
16.235	102.25
16.245	100.38
16.255	98.43
16.375	91.68
16.385	91.61
16.395	91.33
16.405	90.49
16.415	89.65
16.425	89.58
16.435	89.07
16.445	87.46
17.015	91.5
17.025	91.5
17.035	91.38
17.045	91.46
17.055	89.25
17.065	85.55
17.075	81.39
17.085	79.31
17.125	97.2
17.135	98.18
17.145	97.94
17.155	96.28
17.165	93.4
17.175	90.74
17.215	80.88
17.225	84.34
17.235	84.94
17.245	84.94
17.255	85.12
