time	f0
0.955	89.66
0.965	90.8
0.975	90.49
0.985	89.45
0.995	88.83
1.005	87.86
1.015	87.49
1.025	89.12
1.035	88.41
1.045	89.1
1.055	88.87
1.065	89.38
1.075	90.43
1.085	90.31
1.095	90.14
1.105	90.94
1.115	91.18
1.125	90.3
1.135	90.58
1.145	88.89
1.505	110.78
1.515	110.13
1.525	109.61
1.535	109.03
1.545	108.54
1.555	108.18
1.565	107.63
1.575	107.7
1.585	107.8
1.595	107.9
1.605	108.23
1.615	108.41
1.625	108.1
1.635	108.65
1.645	108.27
1.655	107.65
1.665	107.42
1.675	106.93
1.775	105.67
1.785	106.92
1.795	107.19
1.805	106.11
1.815	105.55
1.825	105.42
1.835	104.78
1.845	104.43
1.855	103.85
1.865	103.55
1.875	103.85
1.885	104.17
1.895	104.16
1.905	104.34
1.915	104.15
1.925	104.52
1.935	104.64
2.175	101.52
2.185	99.12
2.195	98.54
2.205	98.02
2.215	97.96
2.225	97.9
2.235	97.54
2.245	97.27
2.725	104.16
2.735	103.09
2.745	102.4
2.755	102.15
2.765	99.45
2.775	97.61
2.785	97.42
2.795	96.4
2.805	96.17
3.005	110.81
3.015	109.79
3.025	109.08
3.035	109.15
3.045	108.61
3.055	107.66
3.065	106.52
3.075	105.83
3.085	104.54
3.095	102.74
3.105	101.41
3.115	100.27
3.125	99.44
3.135	98.95
3.145	98.5
3.155	98.48
3.165	98.29
3.175	98.24
3.185	98.05
3.195	98.14
3.205	98.48
3.215	97.77
3.225	97.6
3.235	98.75
3.525	89.74
3.535	89.37
3.545	89.21
3.555	88.64
3.565	89.33
4.775	86.71
4.785	89.57
4.795	90.35
4.805	90.36
4.815	90.57
4.825	90.48
4.835	89.87
4.845	89.95
4.855	89.18
4.865	88.36
4.875	88.28
4.885	88.48
4.895	87.95
4.905	89.26
5.295	109.68
5.305	108.65
5.315	106.09
5.325	105.8
5.335	103.36
5.345	102.82
5.355	101.62
5.365	100.13
5.375	99.11
5.385	97.84
5.395	96.89
5.405	96.32
5.415	93.49
5.425	92.58
5.435	92.74
5.445	91.04
5.455	90.53
5.465	90.62
5.475	90.17
5.485	90.29
5.495	87.44
5.505	87.72
5.515	88.23
5.805	106.8
5.815	108.37
5.825	108.53
5.835	106.92
5.845	106.4
5.855	105.34
5.865	104.9
5.875	103.89
5.885	102.75
5.895	101.63
5.905	98.83
5.915	96.57
5.925	93.71
5.935	93.03
6.155	83.71
6.165	81.58
6.175	82.16
6.185	82.75
6.195	77.59
6.205	79.71
6.215	80.72
6.225	82.22
6.235	74.2
6.245	73.27
6.255	73.4
6.265	74.69
6.425	105.34
6.435	103.94
6.445	103.38
6.455	101.37
6.465	101.41
6.475	101.94
6.485	101.01
6.495	101.68
6.505	102.94
6.515	103.3
6.565	105.73
6.575	105.71
6.585	106.18
6.595	105.63
6.605	105.08
6.615	104.57
6.625	104.42
6.635	104.07
6.645	103.6
6.655	103.27
6.665	102.48
6.675	102.26
6.685	101.82
6.695	101.95
6.705	102.35
6.715	102.93
6.725	102.4
6.735	102.43
6.745	102.54
6.755	102.36
6.765	102.05
6.775	101.58
6.785	101.37
6.795	101.08
6.805	100.08
6.815	99.82
6.825	96.85
6.835	96.51
6.845	94.96
6.855	92.16
6.865	92.27
7.395	100.47
7.405	100.04
7.415	92.38
7.425	92.61
7.435	92.38
7.445	91.34
7.455	90.85
7.465	86.09
7.475	91.03
7.485	89.86
7.495	88.65
9.005	106.56
9.015	102.76
9.025	103.43
9.035	103.9
9.045	104.48
9.055	104.85
9.065	105.46
9.075	105.19
9.085	105.6
9.095	105
9.105	103.88
9.115	106.47
9.125	109.55
9.155	106.29
9.165	105.1
9.175	103.35
9.185	102.68
9.195	103.26
9.205	106.6
9.215	110.8
9.225	114.74
9.235	115.07
9.245	113.91
9.255	112.88
9.265	111.28
9.275	109.05
9.285	106.47
9.295	103.92
9.595	96.48
9.605	91.02
9.615	90.32
9.625	90.35
9.635	90.99
9.645	91.2
9.655	90.81
9.665	89.89
9.675	90.58
9.685	89.66
9.695	90.01
9.705	90.4
9.715	90.67
9.725	90.51
9.735	90.03
9.745	89.88
9.755	89.98
9.765	89.92
9.775	89.9
9.785	89.49
9.795	89.07
9.805	89.14
9.815	89.4
9.825	89.94
9.835	90.17
10.175	92.77
10.185	91.92
10.255	93.92
10.265	93.18
10.275	92.29
10.285	90.88
10.295	90.14
10.305	87.61
10.315	88.08
10.325	93.51
10.335	93.56
12.465	109.47
12.475	109.16
12.485	108.2
12.495	108.35
12.505	107.5
12.515	105.13
12.525	104.59
12.535	103.37
12.545	103.01
12.555	103.77
12.565	103.55
12.575	102.89
12.585	103.29
12.595	103.4
12.605	103.43
12.615	103.79
12.625	104.11
12.635	104.06
12.645	104.16
12.655	104.23
12.665	103.91
12.675	103.69
12.685	99.3
12.695	100.92
12.705	100.87
12.715	100.78
12.725	99.64
12.835	96.25
12.845	95.41
13.055	94.28
13.065	94.42
13.075	95.09
13.085	95.27
13.095	94.89
13.105	95.19
13.115	94.35
13.125	93.99
13.135	93.44
13.145	92.78
13.155	92.53
13.165	91.85
13.175	91.63
13.185	91.99
13.195	92.48
13.205	93.37
13.215	93.83
13.225	94.71
13.585	106.41
13.595	107.41
13.605	107.8
13.615	106.78
13.625	105.12
13.635	102.96
13.645	99.76
13.655	97.15
13.725	70.88
13.735	70.21
13.745	70.31
13.775	88.05
13.785	88.72
13.795	88.99
13.805	89.36
13.815	89.63
13.825	89.85
13.835	91.79
13.845	91.89
13.855	92.15
13.865	92.72
13.875	93.31
13.885	93.16
13.895	93.24
13.905	92.98
13.915	93.53
13.925	94.2
13.935	95.13
13.945	95.74
13.955	95.55
13.965	95.9
13.975	95.13
13.985	94.78
13.995	94.27
14.005	94.52
14.015	94.65
14.105	95.66
14.115	94.95
14.125	94.48
14.135	94.82
14.145	94.21
14.155	92.99
14.165	92.05
14.175	90.82
14.185	90.61
14.195	91.61
14.205	93.57
14.215	93.59
14.225	92.39
14.235	91.65
14.615	86.75
14.625	83.49
14.635	82.76
14.645	80.61
14.655	77.04
14.665	80.87
14.675	81.12
14.985	123.38
14.995	125.71
15.005	144.3
15.045	91.98
15.055	89.94
15.065	91.43
15.075	91.98
15.085	91.7
15.095	91.82
15.105	91.66
15.115	89.78
15.125	89.67
15.135	89.99
15.145	90.02
15.155	89.05
15.165	88.96
15.175	88.19
15.185	87.77
15.855	100.2
15.865	102.77
15.875	102.36
15.885	100.97
15.895	100.32
15.905	100.35
15.915	100.23
15.925	100.66
15.935	101.48
16.025	101.97
16.035	99.75
16.045	98.59
16.055	97.73
16.065	96.53
16.075	96.17
16.085	95.53
16.095	94.31
16.105	93.68
16.115	93.33
16.125	92.92
16.135	93.32
16.145	92.72
16.155	92.18
16.165	91.7
16.175	90.61
16.185	89.23
16.195	88.92
16.205	87.9
16.215	87.48
16.225	87.98
16.785	103.02
16.795	103.29
16.805	104.67
16.815	105.62
16.825	105.83
16.835	105.48
16.845	104.27
16.855	103.98
16.865	103.66
16.875	101.52
16.885	100.95
16.895	100.49
16.905	99.58
16.915	99.24
16.925	99.47
16.935	99.99
16.945	99.6
16.955	99.14
16.965	98.35
16.975	96.9
16.985	96.14
16.995	94.91
17.005	93.84
17.015	93.08
17.025	92.5
17.035	91.91
17.045	91.82
17.055	91.02
17.065	91.59
17.075	91.9
17.185	109.11
17.195	109.31
17.205	108.79
17.215	107.19
17.225	100.27
17.235	103.97
17.245	105.29
17.255	102.97
17.265	101.66
17.275	103.7
17.285	103.98
17.295	108.17
17.305	103.1
17.315	101.58
17.325	98.85
17.335	98.23
17.345	97.23
17.355	96.88
17.365	96.83
17.375	96.44
17.385	95.89
17.395	95.27
17.455	95.21
17.465	91.87
17.475	91.7
17.485	92.82
17.495	92.65
17.505	93.81
17.515	96.67
17.525	95.61
18.045	101.01
18.055	100.59
18.065	100.14
18.075	99.95
18.085	99.15
18.095	98.51
18.105	98.24
18.115	97.77
18.125	97.84
18.135	97.74
18.145	97.1
18.155	96.76
18.165	96.28
18.175	96.56
18.185	97.2
18.195	97.21
18.205	96.72
18.215	96.24
19.085	97.13
19.095	97.55
19.105	97.79
19.115	97.77
19.125	97.15
19.135	97.02
19.145	96.25
19.155	96.14
19.165	95.88
19.175	94.73
19.185	94.01
19.195	93.46
19.205	92.75
19.215	92.17
19.225	92.35
19.235	92.22
19.245	91.88
19.255	90.91
19.265	90.15
19.275	89.9
19.285	89.95
19.295	89.08
19.305	88.36
19.315	89.49
21.175	96.98
21.185	96.08
21.195	96.11
21.205	95.63
21.215	94.44
21.225	93.1
21.235	92.46
21.245	93.27
21.255	93.5
21.265	92.73
21.275	92.66
21.285	92.82
21.295	92.81
21.305	92.18
21.315	91.64
21.325	91.58
21.335	91.32
21.345	91.68
21.355	91.88
21.365	91.13
21.375	90.96
21.385	90.73
21.395	90.04
21.405	90.06
21.415	90.12
21.425	89.34
21.435	88.82
21.445	88.69
21.455	88.79
21.465	89.01
21.475	89.03
21.485	87.95
21.495	88.97
21.505	89.21
21.515	89.55
21.525	89.49
21.535	90.61
21.545	92.11
21.555	92.54
21.565	92.11
21.665	115.77
21.675	115.3
21.685	114.7
21.695	113.61
21.705	112.24
21.715	112.69
21.725	112.52
21.735	112.77
21.745	111.64
21.755	107
21.765	103.55
21.775	102.25
21.785	101.2
21.795	97.56
21.805	95.37
21.815	95.7
21.825	95.14
21.835	93.2
21.845	92.99
21.855	94.36
21.865	95.1
21.875	95.29
21.885	95.16
21.895	95.51
21.905	93.85
22.025	103.7
22.035	103.66
22.045	102.9
22.055	99.65
22.065	97.2
22.075	96.57
22.135	108.72
22.145	109.63
22.155	109.32
22.165	107.8
22.175	104.81
22.185	102
22.195	99.99
22.205	98.36
22.215	97.09
22.225	95.12
22.235	93.85
22.245	91.96
22.255	90.83
22.265	90.44
22.275	91.14
22.285	92.43
22.295	95.6
22.305	93.6
22.315	92.6
22.325	92.27
22.365	98.16
22.375	98.83
22.385	99.59
22.395	99.05
22.405	98.66
22.415	98.43
22.425	98.74
22.435	98.86
22.445	98.16
22.455	99.4
22.465	98.95
22.475	98.76
22.485	98.61
22.495	98.54
22.505	95.77
22.515	95.73
22.525	95.29
22.535	95.59
22.545	95.99
22.555	95.87
22.565	95.76
22.575	97.87
22.585	100.81
22.595	101.12
22.845	89.39
22.855	90.24
22.865	90.87
22.875	91.56
22.885	91.99
22.895	91.51
22.905	91.36
22.915	93.49
22.925	93.58
22.935	91.68
22.945	89.63
22.955	88.83
22.965	91.93
23.625	177.32
23.635	174.36
23.675	93.55
23.685	93.01
23.695	91.49
23.705	95.18
23.715	100.11
23.725	96.78
23.735	96.22
23.745	96.6
23.755	96.5
23.765	96.66
23.775	96.65
23.785	96.59
23.795	96.15
23.805	94.63
23.815	94.04
23.825	94.67
23.835	94.64
23.845	94.17
23.855	93.84
23.865	93.82
23.875	94.26
23.885	94.49
24.055	105.34
24.065	104.22
24.075	101.42
24.085	98.74
24.095	97.96
24.105	97.59
24.115	96.26
24.125	94.05
24.135	92.9
24.145	92.24
24.155	91.43
24.165	90.88
24.175	90.6
24.185	88.93
24.195	88.36
24.205	88.19
24.215	88.75
24.225	88.59
24.235	88.3
24.245	88.02
24.255	87.97
24.445	95.72
24.455	85.38
24.465	89.92
24.475	88.81
24.485	87.98
24.495	88.32
24.505	90.4
24.515	90.07
24.525	91.43
24.535	92.19
24.545	91.81
24.555	90.51
24.565	89.96
24.575	91.16
24.585	92.43
24.595	91.22
24.605	91.25
24.615	92.41
24.625	91.69
24.635	90.89
25.045	88.6
25.055	89.05
25.065	89.32
25.075	89.17
25.085	89.56
25.095	89.03
25.105	88.29
25.375	88.21
25.385	88.84
25.395	88.73
25.405	88.74
25.415	89.34
25.425	90.03
25.435	90.64
25.445	91.58
25.455	92.75
25.465	92.44
25.475	93.35
25.485	93.6
25.495	93.02
25.505	92.04
25.515	91.97
25.795	107.27
25.805	108.68
25.815	109.15
25.825	107.98
25.835	107.03
25.845	105.54
25.855	104.14
25.865	99.75
25.875	96.04
25.885	94.8
25.895	93.83
25.905	93.01
25.915	91.99
25.925	91.53
25.935	91.2
25.945	91.02
25.955	90.69
25.965	90.28
25.975	90.07
25.985	91.03
25.995	91.13
26.005	90.98
26.015	92.76
26.125	90.53
26.135	89.52
26.145	88.23
26.155	86.81
26.165	85.25
26.175	83.89
26.185	81.57
26.355	92.16
26.365	91.97
26.375	91.78
26.385	92.39
26.395	92.27
26.475	92.36
26.485	91.87
26.495	91.56
26.505	91.29
26.515	90.61
26.525	90.12
26.535	88.94
26.545	87.77
26.555	87.33
26.565	86.97
26.575	83.91
26.585	85.32
26.595	85.65
26.605	83.46
26.615	82.83
26.625	82.43
27.695	87.17
27.705	87.71
27.715	88.1
27.725	88.67
27.735	89.32
27.745	89.74
27.755	89.66
27.765	89.75
27.775	92.14
27.785	91.42
27.795	91.42
27.805	91.58
27.815	91.09
27.825	90.69
27.835	90.71
27.845	91.05
27.855	90.53
27.865	87.95
28.415	108.16
28.425	106.33
28.435	106.14
29.105	108.42
29.115	106.4
29.125	103.92
29.135	101.57
29.145	100.99
29.155	100.74
29.165	99.73
29.175	98.14
29.185	96.72
29.195	96.23
29.205	96.04
29.215	96.28
29.225	96.82
29.235	97.02
29.245	97.15
29.255	97.53
29.265	97.54
29.275	99
29.285	99.06
29.295	97.14
29.305	97.05
29.315	97.13
29.395	98.44
29.405	97.16
29.415	96.58
29.425	96.12
29.435	95.54
29.445	95.4
29.455	94.28
29.465	92.98
29.475	93.16
29.485	95.52
29.495	93.88
29.505	94.5
29.515	97.78
29.875	92.88
29.885	93.47
29.895	93.65
29.905	93.25
29.915	92.8
29.925	91.52
29.935	91.48
29.945	90.46
29.955	89.22
29.965	88.59
29.975	88.36
29.985	88.15
29.995	87.14
30.005	88.39
30.015	85.98
30.025	87.46
30.035	86.02
30.045	85.59
30.055	85.58
30.065	86.38
30.245	100.6
30.255	101.15
30.265	101.66
30.275	102.17
30.285	102.31
30.295	102.04
30.305	101.4
30.315	100.57
30.325	99.17
30.335	96.92
30.345	98.93
30.355	99.13
30.365	97.16
30.375	94.88
30.385	94.59
30.755	99.17
30.765	98.59
30.775	98.18
30.785	97.83
30.795	97.65
30.905	97.9
30.915	98.39
30.925	97.92
30.935	97.49
30.945	97.5
30.955	96.58
31.085	92.13
31.095	91.57
31.105	91.48
31.115	92.38
31.125	91.84
31.135	92.52
31.705	92.6
31.715	90.86
31.725	88.88
31.735	88.42
31.745	83.17
