time	f0
0.075	209.14
0.085	195.17
0.095	192.61
0.105	185.46
0.115	178.2
0.125	170.23
0.135	183.52
0.145	170.23
0.155	165.25
0.165	165.14
0.175	165.41
0.185	168.83
0.195	172.46
0.205	168.31
0.215	170.47
0.225	169.18
0.235	168.51
0.245	168.39
0.255	168.98
0.265	169.17
0.275	168.09
0.285	165.49
0.295	164.26
0.305	163.99
0.315	162.9
0.325	168.74
0.335	162.99
0.345	160.38
0.355	165.59
0.365	172.45
0.375	164.2
0.385	164.17
0.395	160.69
0.405	174.02
0.415	173.58
0.425	169.59
0.435	160.75
0.445	156.56
0.455	157.41
0.465	172.49
0.475	166.82
0.485	153.96
0.495	149.05
0.505	149.05
0.515	149.68
0.525	159.32
0.535	161.98
0.545	157.76
0.555	157.96
0.565	154.99
0.575	157.72
0.585	168.86
0.595	172.63
0.605	163.38
0.615	148.68
0.625	180.38
0.635	152.72
0.645	190.75
0.655	199.32
0.665	185.68
0.675	182.72
0.685	172.98
0.695	162.68
0.765	175.67
0.775	172.04
0.785	133.85
0.795	180.53
0.805	171.97
0.815	167.5
0.825	149.3
0.835	173.84
0.845	167.35
0.855	159.33
0.865	167.82
0.895	184.46
0.905	191.1
0.915	183.56
0.935	160.16
0.945	162
0.955	167.43
0.965	160.67
0.975	156.39
0.985	154.89
0.995	158.5
1.005	173.2
1.015	156.81
1.025	154.2
1.035	157.96
1.045	159.53
1.055	156.22
1.065	158.32
1.075	158.02
1.085	173.35
1.095	182.29
1.105	158.13
1.295	190
1.305	192.25
1.315	196.79
1.325	179.62
1.335	176.1
1.345	171.87
1.355	183.14
1.365	186.92
1.375	185.47
1.385	171.63
1.395	195.44
1.405	201.84
1.415	184.28
1.425	181.38
1.435	177.91
1.445	171.06
1.455	174.76
1.465	165.24
1.475	157.52
1.485	162.62
1.495	171.58
1.505	190.34
1.515	194.67
1.525	199.96
1.535	186.7
1.545	160.99
1.555	167.99
1.565	152.97
1.575	168.26
1.585	167.67
1.595	173.94
1.605	177.61
1.615	181.09
1.625	187.29
1.635	173.9
1.645	169.47
1.655	171.77
1.665	199.31
1.675	159.54
1.685	153.7
1.695	162.24
1.705	171.21
1.715	165.07
1.725	158.75
1.735	158.04
1.745	167.26
1.755	153.56
1.765	170.53
1.775	171.65
1.785	166.97
1.795	147.73
1.805	172.91
1.815	195.51
1.825	162.37
1.835	162.06
1.845	166.4
1.855	163.7
1.865	166.64
1.875	166.12
1.885	165.12
1.895	169.24
1.905	167.34
1.915	166.99
1.925	177.81
1.935	180.35
1.945	182
1.955	188.34
1.965	182.93
1.975	184.56
1.985	186.2
1.995	218.31
2.005	174.56
2.015	174.54
2.025	188.22
2.035	178.29
2.045	151.01
2.055	169.17
2.065	171.42
2.075	176.58
2.085	172.95
2.095	128.29
2.105	169.92
2.115	183.56
2.125	189.24
2.135	181.1
2.145	177.13
2.155	179.46
2.165	187.39
2.175	183.22
2.225	182.23
