time	f0
1.043	258.72
1.053	252.47
1.063	251.07
1.073	244.41
1.083	240.63
1.093	240.69
1.103	256.4
1.113	228.23
1.123	209.08
1.133	214.01
1.143	212.73
1.153	207.04
1.163	209.09
1.173	204.19
1.183	206.79
1.193	208.94
1.203	207.13
1.213	215.5
1.223	222.06
1.233	225.03
1.243	221.46
1.253	223.83
1.263	220.7
1.273	220.21
1.283	215.49
1.293	222.69
1.303	215.76
1.313	217.71
1.323	217.73
1.333	217.46
1.343	222.66
1.353	222.79
1.363	224.42
1.373	226.05
1.383	226.16
1.393	226.75
1.403	224.62
1.413	217.69
1.423	221.54
1.433	220.9
1.443	220.98
1.453	224.19
1.463	223.97
1.473	221.24
1.483	229.69
1.493	231.58
1.503	228.85
1.513	229.03
1.523	226.71
1.533	226.39
1.543	226.61
1.553	226.73
1.563	226.85
1.573	227.5
1.583	226.67
1.593	225.02
1.603	225.36
1.613	226.28
1.623	225.55
1.633	225.42
1.643	227.07
1.653	227.25
1.673	231.11
1.683	233.23
1.693	236.21
1.703	235.18
1.713	227.96
1.723	221.13
1.733	221.91
1.743	222.59
1.753	232.05
1.803	268.07
1.813	245.38
1.823	252.29
1.833	231.24
1.843	228.55
1.853	219.61
1.863	216.85
1.873	207.41
1.883	216.2
1.893	226.98
1.903	216.11
1.913	228.76
1.923	214.05
1.933	242.92
1.943	242.14
1.953	239.5
1.963	239.75
1.973	239.16
1.983	241.23
1.993	243.69
2.003	244.11
2.013	242.22
2.023	236.91
2.033	229.84
2.043	238.03
2.053	239.49
2.183	254.34
2.193	247.84
2.203	253.35
2.213	242.27
2.223	232.07
2.233	221.6
2.243	229.09
2.253	227.32
2.263	240.27
2.273	243.01
2.283	226.37
2.293	240.98
2.303	239.16
3.203	225.99
3.213	216.76
3.223	224.03
3.233	216.21
3.243	218.23
3.253	227.28
3.263	211.77
3.273	211.29
3.283	217.58
3.293	217.58
3.303	208.48
3.313	217.29
3.323	218.69
3.393	209.47
3.403	210.75
3.413	208.37
3.423	212.07
3.433	207.76
3.443	205.71
3.453	207.41
3.463	206.12
3.473	206.3
3.483	206.53
3.493	206.06
3.503	208.16
3.513	204.72
3.523	205.43
3.533	203.4
3.543	202.15
3.553	191.9
3.563	194.45
3.573	200.04
3.583	202.79
4.623	239.97
4.633	235.31
4.643	231.75
4.653	231.4
4.663	229.73
4.673	226.49
4.683	225.12
4.693	219.85
4.703	218.88
4.713	217.34
4.723	215.65
4.733	215.46
4.743	213.92
4.753	215.5
4.763	212.09
4.773	210.51
4.783	211.29
4.793	209.52
4.803	208.51
4.813	209.83
4.823	210.77
4.833	212.1
4.843	212.02
4.853	211.81
4.863	212.21
4.873	209.66
4.883	208.5
4.893	208.3
4.903	207.93
4.913	207.18
4.923	206.1
4.933	204.81
4.943	205.08
4.953	205.53
4.963	205.96
4.973	207.55
4.983	206.02
4.993	205.52
5.003	202.77
5.173	229.99
5.183	229.47
5.193	224.98
5.203	221.12
5.213	218.02
5.223	214.15
5.233	212.27
5.243	210.13
5.253	207.55
5.263	206.08
5.273	204.48
5.283	202.96
5.293	202.94
5.303	201.68
5.313	200
5.323	200.97
5.333	201.11
5.343	201.77
5.353	202.55
5.363	202.09
