time	f0
0.327	134.7
0.337	136.95
0.377	657.59
0.387	665.68
0.397	665.29
0.407	658.27
0.417	648.85
0.427	721.98
0.437	705.25
0.447	703.92
0.537	133.14
0.547	131.01
0.557	128.54
0.747	595.17
0.757	606.65
0.767	602.74
0.777	612.48
0.787	630.35
0.797	601.5
0.807	599.88
0.817	620.86
0.827	604.65
0.837	614.05
0.847	614.99
1.037	143.71
1.047	143.7
1.057	142.59
1.067	142.28
1.077	145.98
1.087	142.69
1.097	144.59
1.107	145
1.117	143.04
1.127	143.59
1.137	145.71
1.407	452.89
1.417	447.27
1.427	436.52
1.437	426.37
1.447	408.03
1.457	404.66
1.467	394.21
1.477	382.11
2.857	117.43
2.867	116.48
2.877	114.83
2.887	111.91
2.897	108.93
2.907	104.87
2.917	102.19
2.927	99.23
2.937	95.44
2.947	92.86
2.967	446.09
3.257	230.99
3.267	227.54
3.277	224.56
3.287	231.29
3.297	228.16
3.307	216.41
3.317	209.64
3.327	205.21
3.337	199.07
3.347	195.46
3.357	197.08
3.367	197.44
3.427	182.09
3.437	187.86
3.447	185.71
3.457	195.23
3.467	189.91
3.477	140.84
3.487	146.64
3.497	148.27
3.507	148.53
3.517	146.53
3.527	142.26
3.537	140.38
3.547	141.43
3.557	142.12
3.567	141.08
3.577	143.02
3.587	142.94
3.597	141.44
3.607	140.86
3.617	140.8
3.627	140.84
3.637	141.45
3.647	141.15
3.657	141.47
3.667	139.92
3.677	139.85
3.687	140.4
3.697	141.56
3.707	425.44
3.717	423.12
3.727	414.99
3.737	413.65
3.747	411.32
3.757	409.62
3.767	412.24
3.777	417.67
3.787	416.94
3.797	419.62
3.807	426.61
3.817	427.51
3.827	410.3
3.837	425.73
3.847	434.31
3.857	434.39
3.867	429.51
3.877	429.84
3.897	138.85
3.907	132.96
3.917	133.5
3.927	133.69
3.947	415.05
3.957	422.51
3.967	414.88
3.977	421.44
3.987	418.04
3.997	414.02
4.007	411.1
4.017	430.35
4.067	493.53
4.077	487.15
4.087	466.55
4.097	439.73
4.107	428.03
4.117	159.39
4.127	154.9
4.137	159.33
4.147	161.6
4.157	164.57
4.167	164.94
4.177	165.16
4.187	164.6
4.197	164.61
4.207	165.98
4.217	165.55
4.227	167.26
4.237	167.35
4.247	165.66
4.257	165.63
4.267	167.9
4.277	168.12
4.287	165.1
4.297	163.92
4.307	165.54
4.317	165.01
4.327	164
4.427	159.36
4.437	157.92
4.447	160.2
4.457	160.54
4.467	159.86
4.477	159.71
4.487	159.96
4.497	159.51
4.507	157.65
4.517	159.25
4.527	158.27
4.537	159.49
4.547	159.01
4.557	158.72
4.567	158.43
4.577	158.32
4.587	158.17
4.597	158.29
4.607	157.73
4.617	157.61
4.627	157.15
4.637	156.92
4.647	156.64
4.657	156.02
4.667	155.4
4.677	155.54
4.687	155.09
4.697	154.16
4.707	153.56
4.717	152.81
4.727	153.35
4.737	153.25
4.747	152.75
4.797	151.63
4.807	151.71
4.817	151.21
4.827	151.17
4.837	151.91
4.847	152.25
4.857	153.61
4.867	153.14
4.877	152.92
4.887	153.09
4.897	154.34
4.907	155.22
4.917	156.71
4.987	129.31
4.997	129.15
5.007	127.33
5.017	129.46
5.057	110.85
5.067	108.83
5.077	107.58
5.097	504.31
5.107	503.08
5.117	501.32
5.147	153.04
5.157	150.31
5.167	147.96
5.177	148.62
5.227	95.92
5.237	143.97
5.247	148.08
5.257	147.24
5.267	145.91
5.277	143.72
5.287	143.39
5.297	142.6
5.307	141.6
5.317	142.64
5.327	143.79
5.337	142.03
5.347	142.43
5.357	142.31
5.367	142.24
5.377	141.33
5.387	141.44
5.397	142.84
5.407	141.89
5.417	141.07
5.427	142.6
5.437	142.24
5.447	141.98
5.457	143.46
5.467	142.12
5.477	140.56
5.487	140.73
5.497	140.86
5.507	141.27
5.517	141.71
5.527	144.19
5.537	142.64
5.547	144.04
5.557	139.96
5.627	118.21
5.637	115.24
5.647	113.28
5.657	110.39
5.667	109.09
5.677	105.39
5.687	103.54
5.697	101.66
5.707	100.69
5.717	98.97
5.907	281.65
5.917	284.65
6.127	319.83
6.137	304.64
6.147	289.68
6.157	298.85
6.257	300.59
6.267	310.09
6.277	297.41
7.287	187.33
7.297	186.29
7.307	184.55
7.317	184.21
7.327	181.97
7.337	181.25
7.347	179.83
7.357	180.64
7.367	181.61
7.377	181.83
7.387	182.37
7.397	182.86
7.407	183.03
7.417	184
7.427	185.06
7.437	184.08
7.447	185.88
7.457	184.63
7.467	184.08
7.477	176.91
7.487	170.77
7.497	179.5
7.597	380.58
7.607	355.09
7.617	321.57
7.627	336.18
7.637	351.28
7.647	395.51
7.657	371.88
7.667	330.4
7.677	340.86
7.697	198.87
7.707	199.86
7.717	196.08
7.737	361.55
7.747	331.44
7.757	385
7.767	404.91
7.777	378.88
7.787	347.21
7.797	330.23
7.807	350.4
7.817	374.55
7.827	378.65
7.927	233.16
7.937	232.45
7.947	231.86
7.957	229.43
7.967	226.64
7.977	225.41
7.987	223.23
7.997	223.15
8.007	224.01
8.017	224.27
8.027	216.17
8.037	206.94
8.047	209.37
8.057	404.57
8.067	420.63
8.077	384.92
8.087	345.78
8.127	219.26
8.137	211.46
8.147	215.24
8.157	213.62
8.167	214.79
8.177	207.62
8.187	204.09
8.197	206.4
8.207	204.4
8.217	203.64
8.227	204.2
8.237	203.62
8.247	204.1
8.257	203.59
8.267	202.27
8.277	201.87
8.287	202.01
8.297	201.62
8.307	201.17
8.317	100.61
8.327	101.38
8.337	104.82
8.347	102.27
8.357	102.32
8.367	102.34
8.377	101.36
8.387	102.09
8.397	101.31
8.407	101.98
8.417	102.91
8.427	102.39
8.447	407.48
8.457	406.75
8.467	392.97
8.477	414.41
8.487	423.45
8.497	381.62
8.507	387.82
8.517	408.88
8.527	401.29
8.537	399.87
8.547	395.61
8.567	296.39
8.577	282.74
8.587	310.09
8.827	189.81
8.837	190.1
8.847	189.71
8.857	189
8.867	189.05
8.877	188.15
8.887	187.58
8.897	186.85
8.907	186.33
8.917	186.23
8.927	185.43
8.937	184.18
8.947	185.82
8.957	184.44
8.967	186.63
8.977	182.7
8.987	183.66
8.997	185.46
9.007	182.71
9.017	185.1
9.027	133.53
9.037	131.11
9.047	171.76
9.057	168.83
9.067	169.75
9.077	169.48
9.087	171.19
9.097	170.83
9.107	168.88
9.117	171.53
9.127	170.82
9.137	169.1
9.147	168.46
9.157	168.94
9.167	168.19
9.177	168.69
9.187	167.7
9.197	168.58
9.207	167.11
9.217	168.06
9.227	168.3
9.237	171.78
9.247	169.31
9.257	167.32
9.267	167.32
9.277	166.48
9.287	166.02
9.297	164.89
9.307	163.99
9.317	163.86
9.327	164.72
9.337	165.2
9.347	164.35
9.357	165.64
9.367	167.73
9.377	168.09
9.387	168.84
9.397	167.65
9.407	165.63
9.417	166.23
9.657	480.68
9.667	484.11
9.677	506.29
9.697	166.66
9.707	166.24
9.717	165.75
9.727	163.03
9.737	158.75
9.747	154.62
9.757	151.13
9.767	146.11
9.777	140.23
9.787	136.35
9.797	125.89
9.807	122.3
9.817	119.36
9.827	115.82
9.837	112.91
9.847	110.39
9.857	107.92
9.867	107.52
9.877	108.15
9.887	108.25
9.897	112.58
9.907	174.31
9.917	172.82
9.927	168
9.937	169.29
9.947	166.41
9.957	166.11
9.987	169.31
9.997	172.04
10.007	171.59
10.017	170.65
10.027	171.61
10.037	170.82
10.047	170.68
10.057	164.74
10.127	165.27
10.137	164.47
10.147	163.85
10.157	164.3
10.167	165.23
10.177	164.67
10.187	164.63
10.197	163.62
10.207	156.13
10.217	157.66
10.227	160.36
10.237	160.1
10.247	158.89
10.257	160.26
10.267	161.73
10.277	162.03
10.287	160.43
10.297	161.28
10.307	158.64
10.317	154.52
10.327	152.06
10.337	457.5
10.347	469.03
10.357	468.6
10.367	514.24
10.377	544.61
10.387	425.44
10.397	434.65
10.407	415.21
10.437	450.21
10.447	450.62
10.457	401.19
10.467	424.05
10.477	518.6
10.487	548.38
10.497	569.44
10.507	562.52
10.517	570.08
10.527	549.94
10.537	505.28
10.547	522.76
10.557	507.57
10.657	124.73
10.667	124.22
10.677	123
10.687	122.71
10.697	122.03
10.707	120.74
10.717	120.94
10.727	120.89
10.737	120.26
10.747	119.84
10.757	120.08
10.767	120.39
10.777	121.02
10.787	121.13
