time	f0
0.065	254.84
0.075	255.45
0.085	257.28
0.105	183.95
0.115	185.83
0.125	187.54
0.135	191.77
0.145	199.01
0.155	209.98
0.295	172.8
0.305	172.46
0.315	173.04
0.355	240.11
0.365	244.26
0.375	245.63
0.385	233.78
0.395	223.36
0.405	226.28
0.415	225.01
0.425	202.6
0.435	185.56
0.445	183.29
0.455	179.11
0.465	171.05
0.475	170.59
0.505	84.8
0.515	85.6
0.525	86.91
0.535	88.27
0.545	89.3
0.575	83.2
0.585	84.29
0.595	85.89
0.605	88.65
0.615	88.75
0.625	88.25
0.635	87.87
0.645	85.64
0.655	83.55
0.665	85.1
0.675	87.26
0.685	90.33
0.695	92.11
0.705	91.12
0.715	88.79
0.725	85.2
0.735	84.06
0.745	83.42
0.755	83.64
0.765	85.69
0.775	88.52
0.785	88.64
0.795	90.51
0.805	90.37
0.815	61.01
0.825	63.42
0.835	65.19
0.845	65.87
0.855	63.73
0.865	61.3
0.875	60.14
0.925	61.94
0.935	62.1
0.945	61.88
0.955	61.3
0.965	61.09
0.975	62.01
0.985	61.93
0.995	61.85
1.005	63.78
1.015	63.75
1.025	61.69
1.035	61.69
1.045	62.43
1.055	64.48
1.065	65.03
1.075	63.75
1.085	62.99
1.095	63.84
1.105	64.52
1.115	63.08
1.185	230.38
1.195	238.42
1.205	238.12
1.335	56.77
1.345	57.03
1.355	56.23
1.365	56.1
1.375	55.92
1.385	55.92
1.395	56.18
1.405	57.04
1.415	56.97
1.425	56.67
1.435	114.46
1.445	113.72
1.455	112.97
1.465	113.66
1.475	108.91
1.485	103.36
1.615	192.49
1.625	192.17
1.635	186.87
1.645	184.59
1.655	183.51
1.665	181.17
1.675	178.45
1.685	178.69
1.695	181.45
1.705	184.49
1.715	185.75
1.725	185.09
1.735	184.05
1.745	174.75
1.755	183.8
1.765	185.71
1.775	185.66
1.785	189.67
1.795	189.5
1.805	182.89
1.815	174.1
1.825	178.65
1.885	90.81
1.895	91.07
1.905	91
1.915	90.22
1.925	60
1.935	60.59
1.945	60.85
1.955	61.03
1.965	60.71
1.975	60.4
1.985	60.29
1.995	60.12
2.005	60.98
2.015	61.01
2.025	61
2.195	60.7
2.205	60.31
2.215	62.03
2.225	64.14
2.335	199.26
2.345	199.97
2.355	204.11
2.365	205.38
2.375	204.09
2.385	202.41
2.395	194.63
2.405	184.31
2.415	191.33
2.425	191.43
2.435	188.46
2.445	188.01
2.455	190.85
2.465	205.68
2.795	253.81
2.805	254.59
2.815	255.93
2.825	241.3
2.835	225.92
2.845	194.67
2.855	188.62
2.865	188.51
2.905	82.68
2.915	84.54
2.925	86.62
2.935	86.91
2.945	86.84
2.955	86.72
2.965	89.32
2.975	91.86
2.985	63.7
2.995	63.84
3.005	63.41
3.015	61.96
3.025	61.92
3.035	61.01
3.045	61.21
3.055	61.47
3.065	61.47
3.075	60.65
3.085	59.6
3.175	106.5
3.185	106.46
3.195	111.05
3.205	113.84
3.225	204.71
3.235	208.31
3.245	206.41
3.255	203.62
3.265	205.15
3.275	208.3
3.285	217.45
3.295	207.77
3.305	208.14
3.315	207.41
3.325	202.41
3.335	199.64
3.345	198.79
3.355	197.8
3.365	194.9
3.375	193.57
3.385	193.03
3.395	192.89
3.405	192.93
3.415	184.87
3.425	184.86
3.505	192.12
3.515	190.71
3.525	186.1
3.535	185.28
3.545	185.89
3.555	194.93
3.665	179.56
3.675	178.97
3.685	180.28
3.695	185.97
3.705	195.58
3.715	244
3.725	245.2
3.735	243.96
3.785	186.25
3.795	187.16
3.805	188.7
3.875	90.28
3.885	88.77
3.895	83.19
3.905	83.01
3.915	84.35
3.985	57.09
3.995	59.94
4.005	61.96
4.015	65.05
4.025	65.73
4.035	64.11
4.045	63.47
4.055	62.82
4.065	62.5
4.075	62.44
4.085	62.66
4.125	85.72
4.135	87.63
4.145	89.08
4.155	88.13
4.165	85.61
4.175	85.9
4.185	88.78
4.195	88.66
4.205	86.58
4.215	85.79
4.225	85.74
4.235	85.47
4.245	84.28
4.255	51.81
4.265	51.77
4.275	51.43
4.285	51.31
4.295	51.98
4.345	240.02
4.355	239.27
4.365	224.11
4.375	193.26
4.385	185.08
4.395	185.21
4.425	243.16
4.435	242.83
4.445	245.85
4.475	218.4
4.485	219.72
4.495	214.81
4.505	210.53
4.615	180.92
4.625	180.65
4.635	180.67
4.645	181.64
4.655	190.62
4.665	190.28
4.675	188.18
4.685	188.86
4.695	197.21
4.705	215.11
4.745	61.79
4.755	61.85
4.765	61.9
4.775	61.18
4.785	59.57
4.795	58.93
4.805	58.83
4.815	58.81
5.035	61.45
5.045	61.43
5.055	61.81
5.065	87.65
5.075	87.96
5.085	87.97
5.175	182.7
5.185	183.6
5.195	188.12
5.205	183.24
5.215	186.46
5.225	185
5.235	187.55
5.245	196.23
5.255	197.47
5.265	189.78
5.275	192.73
5.325	89.54
5.335	88.39
5.345	88.61
5.355	89.89
5.365	89.68
5.405	63.76
5.415	63.91
5.425	63.13
5.435	63.32
5.445	65.15
5.525	234.42
5.535	238.46
