time	f0
0.025	147.19
0.035	145.74
0.045	150.44
0.055	154.8
0.065	153.32
0.075	148.32
0.085	142.54
0.095	131.92
0.105	125.38
0.115	122.42
0.125	119.34
0.135	122.13
0.145	120.44
0.155	122.64
0.165	123.68
0.175	126.08
0.185	126.91
0.195	128.21
0.205	129.94
0.215	133.8
0.225	135.86
0.235	137.03
0.245	137
0.255	137.57
0.265	140.73
0.275	139.22
0.285	142.1
0.295	140.56
0.305	140.91
0.315	139.59
0.325	139.56
0.335	138.42
0.345	136.95
0.355	136.19
0.365	131.96
0.375	128.39
0.385	129.71
0.395	125.53
0.405	121.53
0.415	130.84
0.425	141.31
0.435	119.47
0.445	124.42
0.455	129.7
0.465	135.17
0.475	131.35
0.485	127.02
0.495	139.72
1.085	128.03
1.095	125.42
1.105	128.33
1.115	126.82
1.125	123.89
1.135	125.84
1.145	123.7
1.155	121.99
1.165	130.21
1.175	125.53
1.185	121.37
1.195	124.9
1.285	140.45
1.295	142.29
1.305	145.74
1.315	146.18
1.325	147.07
1.335	149.58
1.345	148.73
1.355	155.73
1.365	160.04
1.375	162.37
1.385	167.94
1.395	184.82
1.405	186.34
1.415	184.82
1.425	187.32
1.435	189.43
1.445	186.1
1.455	184.67
1.465	184.38
1.475	181.91
1.485	178.83
1.495	177.11
1.505	176.11
1.515	173.45
1.525	168.1
1.535	160.94
1.545	158.62
1.555	155.41
1.565	149.37
1.575	150.39
1.585	142.57
1.595	139.66
1.605	141.84
1.615	137.03
1.625	133.73
1.635	133.47
1.645	132.25
1.655	155.42
1.665	142.4
1.675	103.2
1.685	145.81
1.695	138.34
1.705	135.79
1.715	135.82
1.725	130.57
1.735	142.83
1.745	135.96
1.755	139.23
1.765	149.91
1.775	150.77
1.785	147.33
1.795	147.05
1.805	147.95
1.815	149
1.825	147.4
1.835	142.8
1.845	145
1.855	146.98
1.865	150.2
1.875	149.8
1.885	154.18
1.895	154.7
1.905	154.26
1.915	151.48
1.925	147.8
1.935	149.16
1.945	151.85
1.955	152.18
1.965	152.46
1.975	143.43
1.985	149.45
1.995	153.45
2.005	148.4
2.015	155.87
2.025	163.83
2.035	173.13
2.045	168.89
2.055	166.59
2.065	174.05
2.075	166.04
2.085	161.27
2.095	165.64
2.105	166.31
2.115	169.18
2.125	167.98
2.135	169.65
2.145	173.74
2.155	174.23
2.165	174.24
2.175	174.74
2.185	173.18
2.195	170.56
2.205	167.03
2.215	162.96
2.225	160.83
2.235	157.41
2.245	153.69
2.255	149.69
2.265	149.14
2.275	147.7
2.305	121.39
2.315	161.46
2.325	150.11
2.335	155.84
2.345	152.29
2.355	161.84
2.365	154.32
2.375	160.26
