time	f0
0.03	94.89
0.04	94.62
0.05	93.7
0.07	98.27
0.08	96.89
0.09	95.6
0.1	95.38
0.11	95.85
0.13	208.92
0.14	194.21
0.15	195.65
0.16	196.53
0.17	188.56
0.18	192.73
0.23	104.26
0.24	102.46
0.25	101.49
0.26	100.94
0.27	100.46
0.28	99.92
0.29	99.01
0.3	98.69
0.31	99.25
0.32	99.9
0.33	100.39
0.34	100.86
0.35	101.29
0.36	100.65
0.37	99.35
0.38	100.15
0.39	100.6
0.4	99.78
0.41	99.76
0.42	100.52
0.43	100.98
0.44	100.65
0.45	100.43
0.46	100.31
0.47	100.02
0.48	100.01
0.49	99.91
0.5	98.76
0.51	97.19
0.52	96.02
0.53	96.61
0.54	98.82
0.55	99.01
0.56	99.12
0.57	98.88
0.58	96.9
0.59	95.18
0.6	89.82
0.61	86.85
0.62	85.5
0.63	83.9
0.71	78.37
0.72	78.26
0.73	78.09
1.36	226.33
1.37	225.85
1.38	225.35
1.39	225.3
1.92	109.54
1.93	107.69
1.94	105.16
1.95	97.78
1.96	92.42
1.97	88.59
1.98	86.85
1.99	86.85
2	85.66
2.01	82.47
2.02	81.08
2.03	80.36
2.04	79.88
2.05	79.2
2.06	78.98
2.07	77.47
2.08	75.01
2.09	74.63
2.1	74.45
2.11	73.61
2.12	72.69
2.13	72.63
2.14	72.87
2.15	73.29
2.16	73.35
2.17	73.06
2.18	72.87
2.19	72.69
2.2	71.97
2.21	71.04
2.22	71.56
2.23	71.3
2.24	71.07
2.25	71.93
2.26	72.37
2.27	71.75
2.28	69.8
2.29	68.74
2.3	68.71
2.31	69.54
2.32	69.59
2.33	67.18
2.34	66.95
2.35	65.11
2.36	66.94
2.37	70.19
2.38	72.09
2.39	70
2.4	69.26
2.41	70.47
2.42	69.98
2.43	71.42
2.44	76.7
2.53	73.18
2.54	73.85
2.55	72.95
3.02	88.65
3.03	87.2
3.04	86.52
3.05	86.22
3.06	80.25
3.07	79.94
3.08	78.9
3.09	77.75
3.1	77.05
3.11	77
3.12	76.63
3.13	76.69
3.14	77.08
3.15	76.82
3.16	77.73
3.17	77.49
3.18	77.25
3.19	77.35
3.2	77.46
3.21	77.36
3.22	76.24
3.23	75.91
3.24	75.19
3.25	75.46
3.26	236.33
3.27	242.87
3.28	240.24
3.29	223.71
3.3	218.06
3.31	221.14
3.32	216.55
3.33	217.53
3.34	231.88
3.82	220.06
3.83	211.24
3.84	205.78
3.85	207.54
3.86	212.31
3.87	216.6
3.88	218.59
3.89	212.49
3.9	207.5
3.92	103.98
3.93	99.68
3.94	97.41
3.95	97.73
3.96	99.11
3.97	99.13
3.98	72.89
3.99	72.69
4	71.35
6.46	237.67
6.47	217.3
6.48	216.18
6.49	189.59
6.5	188.03
6.51	196.86
7.76	103.27
7.77	102.67
7.78	100.73
7.79	98.27
7.92	100.19
7.93	96.18
7.94	95.53
7.95	95.19
7.96	94.62
7.97	93.34
7.98	90.44
7.99	89.31
8	88.36
8.01	87.83
8.02	87.73
8.03	86.98
8.04	85.76
8.05	83.89
8.06	59.63
8.07	58.12
8.08	58.03
8.1	236.32
8.11	224.88
8.12	222.7
8.13	231.89
8.14	232.01
8.15	224.96
8.16	217.71
8.17	221.88
8.18	226.69
8.19	227.86
