time	f0
0.29	136.89
0.3	132.74
0.31	131.13
0.32	129.29
0.33	127.51
0.34	126.2
0.35	124.87
0.36	121.26
0.37	120.73
0.38	122.01
0.39	118.44
0.4	116.29
0.41	118.16
0.42	118.05
0.43	115.7
0.44	114.44
0.45	114.67
0.46	114.45
0.47	115.27
0.48	115.61
0.49	115.53
0.5	116.18
0.51	116.39
0.52	115.21
0.53	113.94
0.54	113.28
0.55	112.74
0.56	112.59
0.57	113.1
0.58	112.6
0.59	112.01
0.6	111.41
0.61	112.08
0.62	111.26
0.63	111.96
0.64	109.8
0.65	108.63
0.66	107.12
0.67	106.89
0.68	108.86
0.69	110.46
0.7	111.15
0.71	109.59
0.72	105.63
0.73	102.13
0.74	101.91
0.75	102.61
0.76	104.39
0.77	110.28
0.78	111.15
0.79	108.36
2.13	117.35
2.14	117.09
2.15	117.1
2.16	117.37
2.17	117.25
2.18	116.73
2.19	117.12
2.2	117.57
2.21	117.32
2.22	115.62
2.23	115.51
2.24	116.71
2.25	116.75
2.26	115.6
2.27	115.52
2.28	116.47
2.29	117.43
2.3	116.78
2.31	116.72
2.32	118.82
2.33	119.35
2.34	120
2.43	153.93
2.44	148.9
2.45	145.55
2.46	141.91
2.47	139.73
2.48	141.01
2.49	139.77
2.5	136.76
2.51	133.08
2.52	130.33
2.53	130.4
2.54	126.95
2.55	128.79
2.56	131.38
2.57	132.53
2.58	131.76
2.59	131.15
2.6	129.36
2.61	128.26
2.62	126.58
2.63	125.1
2.64	127.64
2.65	127.18
2.66	122.45
2.67	122.39
2.68	122.03
2.69	121.36
2.7	122.07
2.71	124.37
2.8	126.67
2.81	126.56
2.82	120.68
2.83	121.31
2.84	117.92
2.85	117.72
2.86	117.47
2.87	118.02
2.88	119.42
2.89	119.65
2.9	120.22
2.91	120.24
2.92	120.52
2.93	120.18
2.94	120.13
2.95	120.53
2.96	121.13
2.97	122.71
2.98	123.08
2.99	122.43
3	121.34
3.01	121.78
3.02	121.02
3.03	120.54
3.04	120.82
3.05	121.99
3.06	122.73
3.07	123.61
3.08	123.96
3.09	124.28
3.1	122.98
3.11	122.39
3.12	121.39
3.13	121.5
3.14	122.73
3.15	123.73
3.16	125.72
3.17	127.22
3.18	133.49
3.19	130.37
3.2	127.12
3.21	122.58
3.53	119.81
3.54	118.79
3.55	116.81
3.56	115.09
3.57	113.94
3.58	111.96
3.59	111.52
3.6	110.73
3.61	109.31
3.62	106.09
3.63	107.24
3.64	113.83
3.65	118.89
3.66	120.69
3.67	120.67
3.68	121.99
3.69	123.64
3.7	124.28
3.71	124.48
3.72	123.9
3.73	121.48
3.74	120.04
3.75	119.09
3.76	118.3
3.77	116.7
3.78	117.24
3.79	116.5
3.8	116.17
3.81	116.14
3.82	115.56
3.83	115.48
3.84	116.12
3.85	116.06
3.86	115.37
3.87	115.39
3.88	115.54
3.89	115.5
3.9	115.56
3.91	115.59
3.92	114.74
3.93	113.74
3.94	112.64
3.95	110.97
3.96	109.71
3.97	109.44
3.98	109.78
3.99	110.51
4	110.37
4.01	108.07
4.02	107.61
4.03	110.44
4.04	110.25
4.05	110.54
4.06	120.34
4.07	132.4
4.08	132.25
4.09	129.21
4.1	125.07
4.11	122.68
4.12	120.96
4.13	118.75
4.14	117.79
4.15	116.08
4.16	117.03
4.17	116.73
4.18	115.44
4.19	114.35
4.2	113.01
4.21	111.62
4.22	111.31
4.23	110.21
4.24	108.78
4.25	99.92
4.26	104.45
4.27	107.46
4.28	108.51
4.29	108.54
4.3	105.64
4.68	126.55
4.69	117.32
4.7	117.17
4.71	116.71
4.72	114.55
4.73	113.82
4.74	114.32
4.75	115.34
4.76	113.85
4.77	112.15
4.78	111.13
4.79	112.52
4.8	113.29
4.81	112
4.82	111.29
4.83	111.26
4.84	111.33
4.85	115.54
4.86	121.31
4.87	123.56
4.88	124.83
4.89	124.31
4.9	122.12
4.91	119.14
4.92	116.33
4.93	116.82
4.94	117
4.95	117.16
4.96	118.28
4.97	119.53
4.98	120.23
4.99	117.55
5	115.42
5.01	116.2
5.02	116.28
5.03	117.14
5.09	128.79
5.1	123.88
5.11	122.24
5.12	119.68
5.13	118.82
5.14	118.22
5.15	118.46
5.16	118.21
5.17	116.92
5.18	115.09
5.19	113.37
5.2	111.33
5.21	110.56
5.22	110.6
5.23	110.37
5.24	108.64
5.25	103.88
5.26	104.74
5.27	108.74
5.28	107.45
5.29	104.24
5.3	101.83
5.31	98.84
5.32	103.25
5.33	107.26
6.49	128.05
6.5	131.75
6.51	127.38
6.52	124.87
6.53	119.63
6.54	116.94
6.55	113.75
6.56	110.44
6.57	115.25
6.58	118.83
6.59	122.35
6.6	127.56
6.61	124.84
6.63	120.17
6.64	113.63
6.65	111.47
6.66	110.14
6.67	109.16
6.68	108.96
6.69	107.93
6.7	106.36
6.71	106.74
6.72	109.62
6.73	117.3
6.74	119.39
6.75	116.62
6.81	124.17
6.82	115.88
6.83	114.55
6.84	113.66
6.85	113.63
6.86	113.16
6.87	111.96
6.88	110.24
6.89	109.3
6.9	106.67
6.91	105.17
6.92	105.27
6.93	106.31
6.94	106.57
6.95	107.8
6.96	110.46
6.97	112.32
6.98	111.95
6.99	108.79
7	96.86
7.13	122.71
7.14	116.23
7.15	114.17
7.16	114.7
7.17	114.19
7.18	113.22
7.19	111.85
7.2	110.71
7.21	108.07
7.22	107.01
7.23	107.95
7.24	107.26
7.25	106.36
7.26	105.78
7.27	107.93
7.28	108.26
7.29	106.7
7.3	105.42
7.31	105.28
7.32	108.16
