time	f0
1.065	86.37
1.075	87.77
1.085	87.58
1.095	84.41
1.105	84.78
1.115	85.91
1.125	84.57
1.295	91.1
1.305	90.81
1.315	89.48
1.325	88.71
1.335	88.03
1.345	86.69
1.355	85.9
1.365	86.54
1.375	87.61
1.385	87.83
1.395	87.66
1.405	87.91
1.415	88.06
1.425	88.17
1.435	87.77
1.445	87.59
1.455	88.21
1.465	88.64
1.475	88.87
1.485	89.09
1.495	89.27
1.505	89.12
1.515	88.75
1.525	88.54
1.535	88.34
1.545	88.08
1.555	88.14
1.565	88.34
1.575	87.82
1.585	87.4
1.595	87.54
1.605	87.78
1.615	87.55
1.625	87.31
1.635	87.29
1.645	86.75
1.655	86.84
1.665	87
1.675	87.02
1.685	87.28
1.695	87.39
1.705	86.86
1.715	86.81
1.725	86.29
1.735	86.11
1.745	86.27
1.755	86.22
1.765	86.63
1.775	86.35
1.785	86.09
1.795	85.91
1.805	85.67
2.125	89.56
2.135	88.93
2.145	86.87
2.155	87.61
2.165	89.01
2.175	87.99
2.185	86.61
2.195	86.91
2.205	87.12
2.215	87.57
2.255	124.77
2.265	125.12
2.275	127.64
2.285	130.37
2.295	133.64
2.305	138.44
2.315	139.76
2.325	139.71
2.335	141.84
2.345	142.16
2.355	138.98
2.365	131.17
2.375	132.85
2.385	136.69
2.635	117.17
2.645	115.77
2.655	113.34
2.665	111.46
2.675	109.9
2.685	109.14
2.695	108.46
2.705	106.87
2.715	106.76
2.725	106.68
2.735	106.07
2.745	105.24
2.755	104.81
2.765	106.06
2.775	106.88
2.785	105.63
2.795	105.81
2.855	114.59
2.865	110.31
2.875	108.73
2.885	107.8
2.895	102.93
2.905	106.28
2.915	106.09
2.925	106.24
2.935	105.4
2.945	103.85
2.955	74.17
2.965	73.2
2.975	70.78
3.655	107.27
3.665	107.07
3.675	106.65
3.685	106.54
3.695	106.98
3.705	106.3
3.715	105.19
3.725	104.66
3.735	103.88
3.745	102.5
3.755	98.98
3.765	97.37
3.775	96.52
3.785	98.19
3.795	98.77
3.805	99.32
3.815	98.89
3.825	97.55
3.835	95.81
3.845	94.18
3.855	92.31
3.865	91.41
3.875	90.38
3.885	90.44
3.895	90.02
3.905	90.09
3.915	90
3.925	89.21
4.025	101.3
4.035	99.11
4.045	98.1
4.055	95.14
4.305	107.18
4.315	107.82
4.325	108.21
4.335	108.31
4.345	107.95
4.355	107.11
4.365	103.28
4.375	101.86
4.385	102.54
4.395	103.09
4.405	101.23
4.415	101.75
4.605	99.36
4.615	98.75
4.725	93.16
4.735	92.89
4.745	92.29
4.755	91.03
4.765	89.58
4.775	87.89
4.785	87.98
4.875	87.79
4.885	89.74
4.895	88.61
4.905	87.88
4.915	88.9
5.015	88.25
5.025	87.68
5.035	87.15
5.045	87.9
5.055	87.05
5.065	87.73
5.075	88.12
5.085	88.09
5.645	102.54
5.655	103.65
5.665	105.05
5.675	106.01
5.685	107.14
5.695	108.67
5.705	108.91
5.715	108.55
5.725	108.53
5.735	108.58
5.745	109
5.755	109.56
5.765	109.27
5.775	108.36
5.785	108.58
5.795	108.73
5.805	108.62
5.815	108.5
5.825	108.33
5.835	109.13
5.845	109.62
5.855	109.69
5.925	95.1
5.935	95.78
5.945	95.91
5.955	94.69
5.965	93.93
5.975	93.06
5.985	94.85
5.995	94.42
6.005	93.44
6.015	95.73
6.025	95.82
6.035	96.71
6.045	97.61
6.345	86.71
6.355	87.07
6.365	87.27
6.375	87.33
6.385	87.19
6.395	88.45
6.405	87.43
6.415	87.91
6.425	87.54
6.435	86.87
6.445	87.16
6.455	86.23
6.465	86.07
6.475	86.06
6.565	88.8
6.575	88.96
6.585	89.61
6.595	91.02
6.605	91.97
6.615	90.83
6.625	90.27
6.635	90.02
6.645	89.88
6.655	87.91
6.665	88.25
6.675	88.83
6.685	129.67
6.695	128.95
6.705	134.86
6.715	132.76
6.725	126.98
6.735	133.85
6.805	68.58
6.815	75.22
6.825	74.96
6.835	78.39
6.845	80.39
8.345	90.42
8.355	90.1
8.365	89.58
8.375	88.13
8.385	87.51
8.395	86.74
8.405	85.57
8.415	86.22
8.425	86.13
8.435	86.3
8.445	89.27
8.455	83.12
8.725	93.46
8.735	95.83
8.745	97.68
8.755	97.24
8.765	95
8.775	93.7
8.785	96.49
8.795	96.4
8.805	94.75
8.815	94.04
8.825	93.03
8.835	92.51
8.845	92.64
8.855	92.21
8.865	91.41
8.875	91.04
8.885	89.92
8.895	89.01
8.905	88.16
8.915	87.53
8.925	86.65
8.935	85.64
8.945	84.6
9.115	119.82
9.125	118.96
9.135	115.6
9.345	108.09
9.355	108.77
9.365	109.45
9.375	109.18
9.385	104.36
9.395	103.93
9.405	103.53
9.415	103.36
9.425	103.1
9.435	102.72
9.445	104.18
9.455	106.45
9.465	105.79
9.475	101.87
9.485	102.46
9.495	103.32
9.505	99.99
9.515	95.22
9.525	95.2
9.705	85.06
9.715	86.99
9.725	84.05
9.735	84.88
9.745	86.41
9.755	85.67
9.765	84.93
9.775	85.3
11.645	96.57
11.655	97
11.665	97.26
11.675	96.35
11.685	94.89
11.695	93.55
11.705	92.74
11.715	92.46
11.725	92.5
11.735	91.78
11.745	90.8
11.755	89.8
11.765	88.74
11.775	87.95
11.785	87.61
11.795	86.43
11.805	85.83
11.815	85.8
11.825	85.76
11.835	85.51
11.845	85.1
11.855	85.25
11.865	85.74
11.875	85.79
11.885	85.81
11.895	86.17
11.905	135.9
11.915	136.19
11.925	135.48
11.935	136.36
12.415	120.44
12.425	125.04
12.435	128.57
12.445	128.43
12.455	128.01
12.465	128.9
12.475	130
12.485	130.65
12.495	130.54
12.505	130.11
12.515	130.45
12.525	131.39
12.535	129.92
12.545	129.36
12.585	96.54
12.595	97.27
12.605	96.46
12.615	94.47
12.625	94.23
12.635	91.2
12.755	87.44
12.765	85.37
12.775	84.94
12.785	84.59
12.795	83.94
12.805	84.32
12.815	83.42
12.825	83.57
12.935	104.36
12.945	104.2
12.955	103.07
12.965	102.25
12.975	104.02
12.985	103.67
12.995	104.13
13.005	103.6
13.025	66.75
13.035	67.15
13.045	68.4
13.055	68.35
13.065	69.06
13.075	69.13
13.255	101.55
13.265	101.65
13.275	101.58
13.285	101.22
13.295	101.1
13.305	100.32
13.315	100.4
13.325	99.77
13.335	97.54
13.345	100.07
13.355	100.18
13.365	95.64
13.525	95.98
13.535	97.43
13.545	96.47
13.555	93.01
13.565	89.72
13.575	91.58
13.585	95.01
13.595	98.27
13.605	99.48
13.615	100.33
13.625	101.42
13.635	101.82
13.645	100.51
13.655	97.74
13.665	96.37
13.675	95.08
13.685	96.04
13.695	95.16
13.705	96.82
13.715	98.47
13.725	97.72
13.735	97.39
14.115	98.19
14.125	97.57
14.135	95.16
14.145	94.93
14.155	94.57
14.165	93.36
14.175	93.6
14.185	93.13
14.195	90.51
14.205	68.38
14.215	68.63
14.225	68.81
